wo_number,equipment_id,equipment_type,wo_type,status,created_date,scheduled_date,completed_date,assigned_technician,downtime_hours,labor_hours,part_number,priority,description
WO-24206,M-059,Mixer,Preventive,Completed,2025-10-03,2025-10-07,2025-10-08,Mike Thompson,0.0,1.9,PUM-798,Medium,Monthly filter replacement
WO-24053,M-003,Mixer,Preventive,Completed,2025-10-03,2025-10-08,2025-10-11,David Kim,0.0,4.7,,High,Annual inspection and coating check
WO-24179,B-043,Blower,Corrective,Completed,2025-10-02,2025-10-04,2025-10-07,John Martinez,0.0,3.6,,High,Main drive bearing failure - emergency repair
WO-24482,C-080,Chiller,Preventive,Completed,2025-10-02,2025-10-04,2025-10-05,Mike Thompson,0.0,3.5,,High,Weekly lubrication and inspection
WO-24414,CB-079,Conveyor Belt,Preventive,Completed,2025-10-02,2025-10-05,2025-10-05,Sarah Chen,0.0,2.8,,Medium,Quarterly PM - filters and oil change
WO-25454,CP-008,Centrifugal Pump,Preventive,Completed,2025-10-02,2025-10-05,2025-10-06,James Wilson,0.0,2.3,,High,Quarterly maintenance cycle
WO-25464,RA-074,Robotic Arm,Preventive,Completed,2025-10-02,2025-10-06,2025-10-08,James Wilson,0.0,2.8,,Low,Quarterly PM - filters and oil change
WO-25604,M-030,Mixer,Corrective,Completed,2025-10-02,2025-10-06,2025-10-06,Maria Garcia,15.5,22.5,,Low,Unloader valve failure - compressor cycling
WO-24093,M-003,Mixer,Preventive,Open,2025-10-02,2025-10-05,,Jennifer Lee,0.0,,,Medium,Weekly lubrication and inspection
WO-25173,B-038,Boiler,Preventive,Open,2025-10-02,2025-10-04,,John Martinez,0.0,,,High,Routine maintenance and inspection
WO-24120,EM-056,Electric Motor,Preventive,Completed,2025-10-02,2025-10-03,2025-10-06,Sarah Chen,0.0,4.5,,High,Monthly filter replacement
WO-25198,EM-063,Electric Motor,Preventive,In Progress,2025-10-02,2025-10-07,,Emily Davis,0.0,,,Medium,Routine maintenance and inspection
WO-24129,F-048,Forklift,Corrective,Completed,2025-10-02,2025-10-07,2025-10-09,Lisa Anderson,0.0,4.1,,Critical,Main drive bearing failure - emergency repair
WO-25580,RA-072,Robotic Arm,Preventive,Completed,2025-10-02,2025-10-06,2025-10-07,Maria Garcia,0.0,3.7,,Medium,Annual inspection and coating check
WO-24338,B-077,Boiler,Corrective,In Progress,2025-10-01,2025-10-03,,Maria Garcia,0.0,,BEL-736,Medium,Multiple seal failures - contamination issue
WO-24899,F-004,Forklift,Corrective,Completed,2025-10-01,2025-10-04,2025-10-07,Lisa Anderson,4.7,8.5,CYL-613,High,Pressure relief valve replacement
WO-24341,CP-054,Centrifugal Pump,Corrective,Completed,2025-10-01,2025-10-06,2025-10-08,Mike Thompson,4.9,8.3,FIL-632,High,Pressure relief valve replacement
WO-24645,M-003,Mixer,Scheduled Inspection,Completed,2025-10-01,2025-10-05,2025-10-07,Maria Garcia,0.0,2.5,,High,Seal leaking - parts ordered
WO-24615,C-099,Chiller,Preventive,Completed,2025-10-01,2025-10-03,2025-10-04,Mike Thompson,0.0,2.8,COI-439,Low,Monthly filter replacement
WO-25128,M-059,Mixer,Preventive,Scheduled,2025-10-01,2025-10-05,,David Kim,0.0,,SER-499,Medium,Monthly filter replacement
WO-25227,F-035,Forklift,Preventive,Completed,2025-10-01,2025-10-06,2025-10-07,Jennifer Lee,0.0,1.1,COI-835,Medium,Routine maintenance and inspection
WO-25287,M-019,Mixer,Preventive,Cancelled,2025-10-01,2025-10-03,,John Martinez,0.0,,FIL-688,Low,Weekly lubrication and inspection
WO-25255,CP-008,Centrifugal Pump,Preventive,Completed,2025-10-01,2025-10-05,2025-10-05,David Kim,0.0,3.0,,Low,Routine maintenance and inspection
WO-24664,CP-057,Centrifugal Pump,Corrective,Open,2025-10-01,2025-10-02,,Robert Johnson,12.5,,MOT-295,Medium,Belt tracking issue - alignment needed
WO-24567,B-098,Blower,Scheduled Inspection,Completed,2025-10-01,2025-10-03,2025-10-03,Jennifer Lee,0.0,4.6,,Medium,Seal leaking - parts ordered
WO-25777,B-044,Boiler,Preventive,In Progress,2025-09-30,2025-10-02,,Robert Johnson,0.0,,,Medium,Quarterly maintenance cycle
WO-24189,CB-079,Conveyor Belt,Preventive,In Progress,2025-09-30,2025-10-04,,John Martinez,0.0,,,Low,Routine maintenance and inspection
WO-24795,CT-082,Cooling Tower,Scheduled Inspection,Open,2025-09-30,2025-10-04,,Emily Davis,0.0,,,Critical,Bearing seizure - replacement required
WO-25003,HS-002,HVAC System,Preventive,In Progress,2025-09-30,2025-10-03,,Maria Garcia,0.0,,,Medium,Monthly calibration check
WO-25205,HP-062,Hydraulic Press,Preventive,Completed,2025-09-30,2025-10-04,2025-10-07,Emily Davis,0.0,2.7,,Medium,Monthly filter replacement
WO-25687,B-098,Blower,Preventive,Completed,2025-09-30,2025-10-02,2025-10-02,James Wilson,0.0,1.6,CYL-329,Medium,Monthly filter replacement
WO-25398,M-041,Mixer,Corrective,In Progress,2025-09-30,2025-10-02,,David Kim,0.0,,COI-524,Low,Multiple seal failures - contamination issue
WO-24540,F-039,Forklift,Preventive,Completed,2025-09-30,2025-10-05,2025-10-06,David Kim,0.0,3.0,,High,Quarterly maintenance cycle
WO-24396,M-041,Mixer,Preventive,Completed,2025-09-30,2025-10-05,2025-10-06,Lisa Anderson,0.0,4.6,,Critical,Monthly filter replacement
WO-25210,AC-014,Air Compressor,Preventive,Completed,2025-09-30,2025-10-05,2025-10-08,David Kim,0.0,2.2,,Low,Quarterly PM - filters and oil change
WO-25108,RA-072,Robotic Arm,Corrective,Completed,2025-09-30,2025-10-04,2025-10-07,Mike Thompson,19.1,26.7,FAN-342,High,Unloader valve failure - compressor cycling
WO-24986,HS-058,HVAC System,Emergency,Completed,2025-09-30,2025-10-05,2025-10-08,John Martinez,17.3,26.2,,High,Hydraulic cylinder failure - production down
WO-25044,B-098,Blower,Corrective,Completed,2025-09-29,2025-10-04,2025-10-07,Emily Davis,0.0,2.5,,Medium,Seal leaking - parts ordered
WO-24727,CT-031,Cooling Tower,Preventive,Open,2025-09-29,2025-10-03,,David Kim,0.0,,,Medium,Quarterly PM - filters and oil change
WO-24884,B-044,Boiler,Corrective,Completed,2025-09-29,2025-10-04,2025-10-04,David Kim,12.9,18.3,,Medium,Belt tracking issue - alignment needed
WO-24925,C-027,Chiller,Preventive,Completed,2025-09-29,2025-10-03,2025-10-03,Jennifer Lee,0.0,4.6,,Critical,Routine maintenance and inspection
WO-24246,HP-009,Hydraulic Press,Corrective,Completed,2025-09-29,2025-10-04,2025-10-04,Sarah Chen,0.0,1.5,BEA-710,Medium,Pressure relief valve replacement
WO-25361,CP-066,Centrifugal Pump,Preventive,Completed,2025-09-29,2025-09-30,2025-10-02,Sarah Chen,0.0,1.5,,Low,Monthly calibration check
WO-24845,C-052,Crane,Corrective,Completed,2025-09-28,2025-10-03,2025-10-03,John Martinez,7.9,12.1,BEA-349,Critical,Pressure relief valve replacement
WO-25351,EM-078,Electric Motor,Corrective,Completed,2025-09-28,2025-09-30,2025-10-01,Jennifer Lee,0.0,1.1,FIL-326,Low,Hydraulic cylinder failure - production down
WO-25798,F-040,Forklift,Corrective,Completed,2025-09-28,2025-09-30,2025-10-01,John Martinez,9.8,16.5,PUM-978,High,Unloader valve failure - compressor cycling
WO-24205,C-052,Crane,Corrective,Completed,2025-09-28,2025-10-02,2025-10-02,Jennifer Lee,2.5,5.7,MOT-464,Medium,Hydraulic cylinder failure - production down
WO-24368,B-073,Blower,Corrective,In Progress,2025-09-28,2025-10-02,,Jennifer Lee,6.0,,,Critical,Pressure relief valve replacement
WO-25347,B-025,Boiler,Preventive,Completed,2025-09-28,2025-09-29,2025-09-30,Lisa Anderson,0.0,2.6,,Medium,Routine maintenance and inspection
WO-25479,M-030,Mixer,Corrective,Completed,2025-09-28,2025-09-30,2025-10-01,James Wilson,6.2,10.7,IMP-682,Low,Main drive bearing failure - emergency repair
WO-24914,HP-088,Hydraulic Press,Corrective,In Progress,2025-09-28,2025-10-03,,Lisa Anderson,4.6,,,Critical,Multiple seal failures - contamination issue
WO-24785,RA-072,Robotic Arm,Preventive,In Progress,2025-09-28,2025-10-03,,Emily Davis,0.0,,FAN-671,Medium,Quarterly maintenance cycle
WO-25553,HS-024,HVAC System,Scheduled Inspection,Completed,2025-09-28,2025-10-02,2025-10-03,Jennifer Lee,0.0,1.4,,Low,Replace mechanical seal - excessive leaking
WO-25422,G-092,Gearbox,Preventive,Completed,2025-09-27,2025-09-29,2025-10-01,Emily Davis,0.0,4.2,CYL-845,High,Routine maintenance and inspection
WO-24700,M-030,Mixer,Corrective,Completed,2025-09-27,2025-10-02,2025-10-04,Jennifer Lee,18.5,27.1,,Low,Motor overheating - thermal relay replaced
WO-25153,C-065,Chiller,Preventive,In Progress,2025-09-27,2025-10-01,,James Wilson,0.0,,CYL-608,Medium,Weekly lubrication and inspection
WO-24684,F-076,Forklift,Preventive,Completed,2025-09-27,2025-09-28,2025-10-01,Lisa Anderson,0.0,1.2,,High,Routine maintenance and inspection
WO-24982,F-004,Forklift,Preventive,Completed,2025-09-27,2025-10-02,2025-10-05,Emily Davis,0.0,2.1,FAN-510,Low,Weekly lubrication and inspection
WO-25237,CB-091,Conveyor Belt,Scheduled Inspection,Cancelled,2025-09-27,2025-10-01,,Sarah Chen,0.0,,,Critical,Belt tracking issue - alignment needed
WO-25297,HP-062,Hydraulic Press,Corrective,Completed,2025-09-27,2025-09-28,2025-10-01,Jennifer Lee,18.9,29.3,,Medium,Unloader valve failure - compressor cycling
WO-25294,RA-032,Robotic Arm,Preventive,Completed,2025-09-27,2025-10-01,2025-10-04,David Kim,0.0,1.5,,High,Quarterly maintenance cycle
WO-24393,C-065,Chiller,Corrective,Completed,2025-09-27,2025-09-30,2025-10-03,Lisa Anderson,0.0,5.0,THE-659,Medium,Motor overheating - thermal relay replaced
WO-24801,RA-094,Robotic Arm,Corrective,Completed,2025-09-27,2025-09-30,2025-10-03,James Wilson,5.3,10.3,PUM-360,Medium,Motor overheating - thermal relay replaced
WO-25657,M-059,Mixer,Scheduled Inspection,Scheduled,2025-09-27,2025-09-29,,Mike Thompson,0.0,,,Medium,Replace mechanical seal - excessive leaking
WO-25299,CP-042,Centrifugal Pump,Preventive,Completed,2025-09-26,2025-09-29,2025-10-01,Mike Thompson,0.0,1.2,,Low,Weekly lubrication and inspection
WO-25006,HP-075,Hydraulic Pump,Corrective,Completed,2025-09-26,2025-09-27,2025-09-27,Robert Johnson,18.1,26.8,BEA-349,High,Bearing seizure - replacement required
WO-25615,CB-079,Conveyor Belt,Corrective,Completed,2025-09-26,2025-09-28,2025-10-01,Lisa Anderson,10.9,16.5,SER-954,High,Belt tracking issue - alignment needed
WO-25728,M-084,Mixer,Preventive,Completed,2025-09-26,2025-09-28,2025-09-29,Jennifer Lee,0.0,3.5,,Low,Weekly lubrication and inspection
WO-24028,CP-054,Centrifugal Pump,Corrective,Open,2025-09-26,2025-09-30,,Robert Johnson,0.0,,CYL-363,Medium,Replace mechanical seal - excessive leaking
WO-24162,CP-057,Centrifugal Pump,Preventive,Completed,2025-09-26,2025-10-01,2025-10-01,Lisa Anderson,0.0,4.0,ENC-196,Medium,Routine maintenance and inspection
WO-25028,EM-056,Electric Motor,Corrective,Completed,2025-09-26,2025-09-29,2025-10-01,Jennifer Lee,2.9,7.0,,High,Seal leaking - parts ordered
WO-25180,CP-049,Centrifugal Pump,Preventive,Completed,2025-09-26,2025-10-01,2025-10-01,James Wilson,0.0,4.3,,Low,Monthly filter replacement
WO-25221,HP-010,Hydraulic Pump,Preventive,Completed,2025-09-26,2025-09-30,2025-10-01,Maria Garcia,0.0,2.8,PUM-294,Medium,Quarterly PM - filters and oil change
WO-24685,C-090,Crane,Preventive,Scheduled,2025-09-26,2025-09-29,,James Wilson,0.0,,FAN-904,Medium,Monthly calibration check
WO-25379,C-037,Chiller,Corrective,Scheduled,2025-09-26,2025-10-01,,Jennifer Lee,10.0,,ENC-233,Critical,Pressure relief valve replacement
WO-25192,RA-060,Robotic Arm,Emergency,Completed,2025-09-26,2025-10-01,2025-10-03,James Wilson,14.4,23.2,,Low,Multiple seal failures - contamination issue
WO-25057,C-053,Chiller,Corrective,Completed,2025-09-25,2025-09-30,2025-10-01,Lisa Anderson,17.6,27.6,THE-670,Low,Seal leaking - parts ordered
WO-24871,CT-031,Cooling Tower,Preventive,Completed,2025-09-25,2025-09-28,2025-09-29,Emily Davis,0.0,2.7,,High,Routine maintenance and inspection
WO-24826,M-041,Mixer,Preventive,Completed,2025-09-25,2025-09-30,2025-10-03,John Martinez,0.0,2.4,,Critical,Quarterly PM - filters and oil change
WO-24827,RA-032,Robotic Arm,Preventive,Completed,2025-09-25,2025-09-27,2025-09-29,Lisa Anderson,0.0,2.0,,Low,Weekly lubrication and inspection
WO-25229,G-023,Gearbox,Preventive,Completed,2025-09-25,2025-09-28,2025-09-28,Mike Thompson,0.0,4.2,BEA-855,Medium,Quarterly maintenance cycle
WO-24650,B-025,Boiler,Corrective,Completed,2025-09-25,2025-09-30,2025-10-03,Mike Thompson,16.9,24.8,,Low,Belt tracking issue - alignment needed
WO-24446,M-003,Mixer,Corrective,Completed,2025-09-25,2025-09-28,2025-09-28,Robert Johnson,4.6,10.7,FAN-132,Critical,Unloader valve failure - compressor cycling
WO-25600,C-053,Chiller,Emergency,Completed,2025-09-25,2025-09-29,2025-09-30,Emily Davis,0.0,1.4,,High,Main drive bearing failure - emergency repair
WO-24728,EM-078,Electric Motor,Preventive,Cancelled,2025-09-25,2025-09-27,,Sarah Chen,0.0,,,Low,Monthly filter replacement
WO-25138,B-098,Blower,Corrective,Scheduled,2025-09-25,2025-09-29,,Mike Thompson,0.0,,CYL-873,Medium,Pressure relief valve replacement
WO-24037,CB-017,Conveyor Belt,Preventive,Completed,2025-09-25,2025-09-27,2025-09-28,James Wilson,0.0,2.3,,Medium,Routine maintenance and inspection
WO-24234,M-059,Mixer,Preventive,Scheduled,2025-09-25,2025-09-26,,Robert Johnson,0.0,,,Medium,Annual inspection and coating check
WO-25001,CB-067,Conveyor Belt,Preventive,In Progress,2025-09-25,2025-09-26,,Mike Thompson,0.0,,,High,Annual inspection and coating check
WO-25340,CB-017,Conveyor Belt,Preventive,Open,2025-09-25,2025-09-28,,Maria Garcia,0.0,,,Medium,Quarterly maintenance cycle
WO-24241,F-004,Forklift,Corrective,Completed,2025-09-24,2025-09-29,2025-10-01,Robert Johnson,8.5,15.0,SER-273,High,Multiple seal failures - contamination issue
WO-24519,F-040,Forklift,Corrective,In Progress,2025-09-24,2025-09-29,,John Martinez,0.0,,,High,Replace mechanical seal - excessive leaking
WO-25240,EM-056,Electric Motor,Preventive,Completed,2025-09-24,2025-09-25,2025-09-25,David Kim,0.0,3.3,COM-385,High,Weekly lubrication and inspection
WO-25452,AC-036,Air Compressor,Scheduled Inspection,Completed,2025-09-24,2025-09-26,2025-09-26,James Wilson,0.0,1.2,,Medium,Multiple seal failures - contamination issue
WO-24988,RA-072,Robotic Arm,Preventive,Completed,2025-09-24,2025-09-25,2025-09-26,Jennifer Lee,0.0,1.7,,High,Weekly lubrication and inspection
WO-25491,CT-026,Cooling Tower,Corrective,In Progress,2025-09-24,2025-09-29,,John Martinez,4.5,,FAN-305,Critical,Unloader valve failure - compressor cycling
WO-24639,B-069,Boiler,Corrective,Open,2025-09-24,2025-09-28,,Sarah Chen,5.7,,,High,Bearing seizure - replacement required
WO-24844,M-041,Mixer,Preventive,Completed,2025-09-24,2025-09-25,2025-09-27,David Kim,0.0,3.9,,Medium,Routine maintenance and inspection
WO-24382,G-092,Gearbox,Corrective,Completed,2025-09-24,2025-09-29,2025-09-29,Jennifer Lee,3.5,8.0,ENC-131,Low,Unloader valve failure - compressor cycling
WO-25648,B-064,Boiler,Corrective,Completed,2025-09-24,2025-09-28,2025-09-28,Emily Davis,0.0,1.5,,High,Hydraulic cylinder failure - production down
WO-24902,HP-009,Hydraulic Press,Corrective,Completed,2025-09-24,2025-09-29,2025-09-30,John Martinez,0.0,2.1,CYL-734,Low,Bearing seizure - replacement required
WO-24855,CB-017,Conveyor Belt,Preventive,Completed,2025-09-24,2025-09-29,2025-09-29,Robert Johnson,0.0,3.2,,Medium,Monthly calibration check
WO-24531,C-080,Chiller,Scheduled Inspection,Completed,2025-09-24,2025-09-28,2025-09-29,Mike Thompson,0.0,4.5,,Low,Seal leaking - parts ordered
WO-24893,CT-082,Cooling Tower,Corrective,Completed,2025-09-24,2025-09-27,2025-09-30,James Wilson,0.0,3.9,PUM-115,High,Seal leaking - parts ordered
WO-24202,M-059,Mixer,Corrective,Completed,2025-09-24,2025-09-26,2025-09-28,Lisa Anderson,18.6,26.0,,Medium,Pressure relief valve replacement
WO-24221,B-098,Blower,Preventive,Open,2025-09-24,2025-09-26,,Mike Thompson,0.0,,SEA-172,Medium,Routine maintenance and inspection
WO-25631,CB-079,Conveyor Belt,Corrective,Scheduled,2025-09-24,2025-09-29,,David Kim,0.0,,SER-874,Critical,Seal leaking - parts ordered
WO-24342,C-037,Chiller,Preventive,Completed,2025-09-23,2025-09-28,2025-09-30,Mike Thompson,0.0,1.7,BEL-320,Low,Annual inspection and coating check
WO-24050,CT-089,Cooling Tower,Scheduled Inspection,Completed,2025-09-23,2025-09-24,2025-09-24,Mike Thompson,0.0,2.6,,Low,Replace mechanical seal - excessive leaking
WO-24889,G-047,Gearbox,Corrective,Completed,2025-09-23,2025-09-28,2025-09-29,Jennifer Lee,9.1,15.3,,High,Replace mechanical seal - excessive leaking
WO-25534,CP-042,Centrifugal Pump,Corrective,In Progress,2025-09-23,2025-09-27,,Emily Davis,3.8,,,Low,Main drive bearing failure - emergency repair
WO-24505,F-034,Forklift,Corrective,Completed,2025-09-23,2025-09-28,2025-09-29,Mike Thompson,18.4,28.4,ENC-165,High,Bearing seizure - replacement required
WO-24575,HS-071,HVAC System,Preventive,Completed,2025-09-23,2025-09-26,2025-09-26,Jennifer Lee,0.0,4.9,,Low,Routine maintenance and inspection
WO-25647,G-006,Gearbox,Preventive,Completed,2025-09-23,2025-09-26,2025-09-27,Emily Davis,0.0,1.8,,Medium,Quarterly maintenance cycle
WO-24692,G-047,Gearbox,Corrective,Completed,2025-09-23,2025-09-25,2025-09-28,Emily Davis,16.6,25.7,THE-694,High,Main drive bearing failure - emergency repair
WO-25456,C-027,Chiller,Preventive,Completed,2025-09-23,2025-09-27,2025-09-27,Emily Davis,0.0,1.6,,Low,Quarterly PM - filters and oil change
WO-24970,B-043,Blower,Emergency,Completed,2025-09-23,2025-09-26,2025-09-27,Emily Davis,3.6,9.1,,High,Multiple seal failures - contamination issue
WO-24128,AC-036,Air Compressor,Preventive,Open,2025-09-23,2025-09-25,,Jennifer Lee,0.0,,MOT-929,Medium,Weekly lubrication and inspection
WO-24154,CB-079,Conveyor Belt,Corrective,Completed,2025-09-23,2025-09-24,2025-09-26,James Wilson,0.0,1.4,MOT-335,Critical,Pressure relief valve replacement
WO-25566,F-004,Forklift,Preventive,Completed,2025-09-22,2025-09-23,2025-09-25,Mike Thompson,0.0,3.6,FAN-961,Medium,Quarterly PM - filters and oil change
WO-24149,G-092,Gearbox,Preventive,Completed,2025-09-22,2025-09-26,2025-09-28,Sarah Chen,0.0,4.3,BEA-610,Medium,Quarterly maintenance cycle
WO-25562,F-035,Forklift,Scheduled Inspection,Completed,2025-09-22,2025-09-26,2025-09-29,David Kim,0.0,1.4,,Low,Multiple seal failures - contamination issue
WO-24714,EM-068,Electric Motor,Corrective,Completed,2025-09-22,2025-09-23,2025-09-23,David Kim,10.5,15.2,IMP-630,Low,Hydraulic cylinder failure - production down
WO-24091,HP-062,Hydraulic Press,Scheduled Inspection,Cancelled,2025-09-22,2025-09-27,,Jennifer Lee,0.0,,,Medium,Belt tracking issue - alignment needed
WO-24262,C-052,Crane,Corrective,Completed,2025-09-22,2025-09-24,2025-09-25,David Kim,7.7,14.4,,High,Seal leaking - parts ordered
WO-24466,B-064,Boiler,Scheduled Inspection,In Progress,2025-09-22,2025-09-23,,John Martinez,0.0,,,Medium,Multiple seal failures - contamination issue
WO-25309,AC-014,Air Compressor,Preventive,Completed,2025-09-22,2025-09-24,2025-09-24,Emily Davis,0.0,3.3,,Low,Routine maintenance and inspection
WO-25330,CT-013,Cooling Tower,Preventive,Completed,2025-09-22,2025-09-25,2025-09-26,Robert Johnson,0.0,3.4,,Low,Monthly filter replacement
WO-24804,HS-021,HVAC System,Corrective,Completed,2025-09-21,2025-09-26,2025-09-26,David Kim,16.8,25.7,FAN-279,Critical,Unloader valve failure - compressor cycling
WO-24465,AC-014,Air Compressor,Corrective,Completed,2025-09-21,2025-09-26,2025-09-26,David Kim,0.0,3.3,BEA-627,Critical,Hydraulic cylinder failure - production down
WO-25428,F-004,Forklift,Preventive,Completed,2025-09-21,2025-09-25,2025-09-25,Maria Garcia,0.0,3.8,,Medium,Annual inspection and coating check
WO-25557,B-077,Boiler,Corrective,Completed,2025-09-21,2025-09-23,2025-09-26,Emily Davis,0.0,4.9,BEL-427,Medium,Unloader valve failure - compressor cycling
WO-25786,HS-058,HVAC System,Preventive,Completed,2025-09-21,2025-09-25,2025-09-26,Robert Johnson,0.0,3.5,,Medium,Quarterly maintenance cycle
WO-25157,B-073,Blower,Preventive,Completed,2025-09-21,2025-09-24,2025-09-25,Emily Davis,0.0,1.6,,Medium,Routine maintenance and inspection
WO-24240,B-043,Blower,Scheduled Inspection,Completed,2025-09-21,2025-09-23,2025-09-23,James Wilson,0.0,1.2,,Medium,Motor overheating - thermal relay replaced
WO-25226,F-034,Forklift,Scheduled Inspection,Completed,2025-09-21,2025-09-26,2025-09-29,John Martinez,0.0,4.1,,High,Pressure relief valve replacement
WO-25752,CT-005,Cooling Tower,Preventive,Completed,2025-09-21,2025-09-25,2025-09-27,Maria Garcia,0.0,4.7,,High,Routine maintenance and inspection
WO-25713,C-080,Chiller,Scheduled Inspection,Completed,2025-09-21,2025-09-24,2025-09-25,Maria Garcia,0.0,2.4,,Medium,Main drive bearing failure - emergency repair
WO-24353,RA-050,Robotic Arm,Corrective,Completed,2025-09-21,2025-09-22,2025-09-25,James Wilson,2.1,4.3,,Low,Belt tracking issue - alignment needed
WO-25288,B-073,Blower,Scheduled Inspection,Scheduled,2025-09-21,2025-09-22,,Robert Johnson,0.0,,,Medium,Main drive bearing failure - emergency repair
WO-24632,B-098,Blower,Preventive,Scheduled,2025-09-20,2025-09-25,,Mike Thompson,0.0,,BEA-179,High,Monthly filter replacement
WO-24877,B-098,Blower,Corrective,Completed,2025-09-20,2025-09-25,2025-09-28,Mike Thompson,0.0,3.4,,High,Replace mechanical seal - excessive leaking
WO-24420,EM-078,Electric Motor,Preventive,Completed,2025-09-20,2025-09-25,2025-09-26,James Wilson,0.0,2.8,,Medium,Quarterly maintenance cycle
WO-24182,AC-036,Air Compressor,Corrective,Completed,2025-09-20,2025-09-21,2025-09-23,John Martinez,0.0,4.3,,Low,Main drive bearing failure - emergency repair
WO-24729,HS-012,HVAC System,Corrective,Completed,2025-09-20,2025-09-21,2025-09-22,James Wilson,3.9,7.7,PUM-266,Medium,Hydraulic cylinder failure - production down
WO-24015,RA-032,Robotic Arm,Corrective,Completed,2025-09-20,2025-09-25,2025-09-26,John Martinez,0.0,2.3,FIL-876,High,Belt tracking issue - alignment needed
WO-24741,CP-066,Centrifugal Pump,Preventive,Completed,2025-09-20,2025-09-21,2025-09-22,Robert Johnson,0.0,4.9,HOS-837,High,Monthly calibration check
WO-24696,B-055,Boiler,Preventive,Completed,2025-09-20,2025-09-23,2025-09-23,David Kim,0.0,2.8,,Medium,Monthly calibration check
WO-25410,F-034,Forklift,Corrective,Cancelled,2025-09-19,2025-09-23,,Sarah Chen,4.2,,FIL-827,High,Pressure relief valve replacement
WO-25606,C-053,Chiller,Scheduled Inspection,Open,2025-09-19,2025-09-23,,Maria Garcia,0.0,,,Medium,Bearing seizure - replacement required
WO-24095,EM-078,Electric Motor,Emergency,Completed,2025-09-19,2025-09-24,2025-09-25,David Kim,14.4,22.9,,Critical,Motor overheating - thermal relay replaced
WO-25035,HS-002,HVAC System,Corrective,Completed,2025-09-19,2025-09-23,2025-09-24,Sarah Chen,11.5,16.3,,High,Unloader valve failure - compressor cycling
WO-25601,CT-013,Cooling Tower,Emergency,Completed,2025-09-19,2025-09-21,2025-09-22,Sarah Chen,0.0,2.8,,Low,Main drive bearing failure - emergency repair
WO-24443,HP-088,Hydraulic Press,Preventive,Completed,2025-09-19,2025-09-20,2025-09-21,James Wilson,0.0,1.4,THE-670,Medium,Monthly filter replacement
WO-25465,RA-094,Robotic Arm,Scheduled Inspection,Open,2025-09-19,2025-09-22,,Robert Johnson,0.0,,,Low,Seal leaking - parts ordered
WO-25098,RA-094,Robotic Arm,Corrective,Open,2025-09-19,2025-09-21,,Emily Davis,15.6,,,High,Main drive bearing failure - emergency repair
WO-25501,B-055,Boiler,Corrective,Cancelled,2025-09-19,2025-09-24,,Emily Davis,11.5,,,High,Belt tracking issue - alignment needed
WO-24438,HP-100,Hydraulic Pump,Preventive,Completed,2025-09-18,2025-09-23,2025-09-25,John Martinez,0.0,1.5,,Medium,Monthly filter replacement
WO-24565,CB-067,Conveyor Belt,Preventive,Completed,2025-09-18,2025-09-21,2025-09-23,Emily Davis,0.0,3.3,,Medium,Quarterly maintenance cycle
WO-25156,CB-091,Conveyor Belt,Corrective,Completed,2025-09-18,2025-09-19,2025-09-21,Sarah Chen,0.0,4.7,FAN-279,Low,Replace mechanical seal - excessive leaking
WO-24910,B-055,Boiler,Scheduled Inspection,Completed,2025-09-18,2025-09-22,2025-09-25,James Wilson,0.0,3.6,,Low,Main drive bearing failure - emergency repair
WO-24997,CP-042,Centrifugal Pump,Scheduled Inspection,In Progress,2025-09-18,2025-09-23,,Mike Thompson,0.0,,,Low,Replace mechanical seal - excessive leaking
WO-25435,CT-089,Cooling Tower,Preventive,Completed,2025-09-18,2025-09-19,2025-09-19,Emily Davis,0.0,3.9,,Medium,Monthly calibration check
WO-24762,M-019,Mixer,Preventive,Completed,2025-09-18,2025-09-22,2025-09-23,Lisa Anderson,0.0,2.8,,Low,Weekly lubrication and inspection
WO-25683,M-019,Mixer,Scheduled Inspection,Open,2025-09-18,2025-09-23,,John Martinez,0.0,,,Low,Main drive bearing failure - emergency repair
WO-25217,B-098,Blower,Corrective,Completed,2025-09-18,2025-09-23,2025-09-25,Maria Garcia,4.8,8.0,FIL-680,High,Motor overheating - thermal relay replaced
WO-24418,M-084,Mixer,Preventive,Completed,2025-09-18,2025-09-21,2025-09-23,Sarah Chen,0.0,1.2,,Low,Quarterly PM - filters and oil change
WO-24718,F-076,Forklift,Corrective,Completed,2025-09-18,2025-09-19,2025-09-21,Emily Davis,12.6,18.0,CYL-506,Critical,Pressure relief valve replacement
WO-25395,HS-022,HVAC System,Corrective,In Progress,2025-09-17,2025-09-22,,Lisa Anderson,3.0,,,Critical,Motor overheating - thermal relay replaced
WO-25224,C-090,Crane,Preventive,Completed,2025-09-17,2025-09-21,2025-09-23,Maria Garcia,0.0,4.5,SER-977,Low,Quarterly maintenance cycle
WO-25685,C-099,Chiller,Scheduled Inspection,Open,2025-09-17,2025-09-19,,James Wilson,0.0,,,Low,Multiple seal failures - contamination issue
WO-25388,HP-100,Hydraulic Pump,Corrective,In Progress,2025-09-17,2025-09-22,,Sarah Chen,0.0,,FIL-602,Critical,Seal leaking - parts ordered
WO-25702,M-061,Mixer,Preventive,Cancelled,2025-09-17,2025-09-21,,Mike Thompson,0.0,,,Low,Quarterly maintenance cycle
WO-25231,G-092,Gearbox,Scheduled Inspection,Open,2025-09-17,2025-09-20,,Sarah Chen,0.0,,,Low,Belt tracking issue - alignment needed
